id,run_at,city,temperature,temperature_unit,condition,humidity,wind_speed,alert_type,raw_response
1,2025-12-26 06:53:24.945+00,Chicago,4.6,C,overcast clouds,74,4.12,none,"{""dt"": 1766731689, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.6, ""humidity"": 74, ""pressure"": 1011, ""temp_max"": 5.3, ""temp_min"": 3.91, ""sea_level"": 1011, ""feels_like"": 1.3, ""grnd_level"": 989}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""speed"": 4.12}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
2,2025-12-26 06:53:24.945+00,Chicago,4.6,C,overcast clouds,74,4.12,none,"{""dt"": 1766731689, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.6, ""humidity"": 74, ""pressure"": 1011, ""temp_max"": 5.3, ""temp_min"": 3.91, ""sea_level"": 1011, ""feels_like"": 1.3, ""grnd_level"": 989}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""speed"": 4.12}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
3,2025-12-26 07:37:08.775+00,Chicago,4.89,C,overcast clouds,77,5.66,none,"{""dt"": 1766734181, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.89, ""humidity"": 77, ""pressure"": 1011, ""temp_max"": 5.3, ""temp_min"": 3.91, ""sea_level"": 1011, ""feels_like"": 0.9, ""grnd_level"": 989}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
4,2025-12-26 07:37:08.775+00,Chicago,4.89,C,overcast clouds,77,5.66,none,"{""dt"": 1766734181, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.89, ""humidity"": 77, ""pressure"": 1011, ""temp_max"": 5.3, ""temp_min"": 3.91, ""sea_level"": 1011, ""feels_like"": 0.9, ""grnd_level"": 989}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
5,2025-12-26 07:52:09.965+00,Chicago,4.86,C,overcast clouds,79,6.17,none,"{""dt"": 1766735003, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.86, ""humidity"": 79, ""pressure"": 1010, ""temp_max"": 5.3, ""temp_min"": 3.91, ""sea_level"": 1010, ""feels_like"": 0.65, ""grnd_level"": 988}, ""name"": ""Chicago"", ""wind"": {""deg"": 150, ""gust"": 9.26, ""speed"": 6.17}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
6,2025-12-26 07:52:09.965+00,Chicago,4.86,C,overcast clouds,79,6.17,none,"{""dt"": 1766735003, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.86, ""humidity"": 79, ""pressure"": 1010, ""temp_max"": 5.3, ""temp_min"": 3.91, ""sea_level"": 1010, ""feels_like"": 0.65, ""grnd_level"": 988}, ""name"": ""Chicago"", ""wind"": {""deg"": 150, ""gust"": 9.26, ""speed"": 6.17}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
7,2025-12-26 08:12:56.266+00,Chicago,4.99,C,overcast clouds,82,5.66,none,"{""dt"": 1766736599, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.99, ""humidity"": 82, ""pressure"": 1010, ""temp_max"": 5.58, ""temp_min"": 3.99, ""sea_level"": 1010, ""feels_like"": 1.03, ""grnd_level"": 988}, ""name"": ""Chicago"", ""wind"": {""deg"": 150, ""gust"": 9.77, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
8,2025-12-26 09:03:05.793+00,Chicago,4.66,C,overcast clouds,84,5.66,none,"{""dt"": 1766739564, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.66, ""humidity"": 84, ""pressure"": 1009, ""temp_max"": 5.1, ""temp_min"": 3.99, ""sea_level"": 1009, ""feels_like"": 0.61, ""grnd_level"": 987}, ""name"": ""Chicago"", ""wind"": {""deg"": 150, ""gust"": 9.77, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
9,2025-12-26 09:08:27.585+00,Chicago,4.64,C,overcast clouds,85,5.66,none,"{""dt"": 1766740095, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2005153, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.64, ""humidity"": 85, ""pressure"": 1008, ""temp_max"": 5.1, ""temp_min"": 3.91, ""sea_level"": 1008, ""feels_like"": 0.58, ""grnd_level"": 987}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""gust"": 9.26, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
10,2025-12-26 09:26:50.407+00,Chicago,4.68,C,overcast clouds,86,5.66,none,"{""dt"": 1766741110, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2075214, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.68, ""humidity"": 86, ""pressure"": 1007, ""temp_max"": 5.16, ""temp_min"": 3.96, ""sea_level"": 1007, ""feels_like"": 0.63, ""grnd_level"": 987}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""gust"": 9.26, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
11,2025-12-26 09:43:29.884+00,Chicago,4.66,C,overcast clouds,86,5.66,none,"{""dt"": 1766742058, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2075214, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.66, ""humidity"": 86, ""pressure"": 1007, ""temp_max"": 5.3, ""temp_min"": 3.9, ""sea_level"": 1007, ""feels_like"": 0.61, ""grnd_level"": 985}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""gust"": 9.26, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
12,2025-12-26 09:43:44.709+00,Chicago,4.66,C,overcast clouds,86,5.66,none,"{""dt"": 1766742165, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2075214, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.66, ""humidity"": 86, ""pressure"": 1007, ""temp_max"": 5.3, ""temp_min"": 3.9, ""sea_level"": 1007, ""feels_like"": 0.61, ""grnd_level"": 985}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""gust"": 9.26, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
13,2025-12-26 09:46:00.739+00,Chicago,4.68,C,overcast clouds,86,5.66,none,"{""dt"": 1766741970, ""id"": 4887398, ""cod"": 200, ""sys"": {""id"": 2075214, ""type"": 2, ""sunset"": 1766787928, ""country"": ""US"", ""sunrise"": 1766755018}, ""base"": ""stations"", ""main"": {""temp"": 4.68, ""humidity"": 86, ""pressure"": 1007, ""temp_max"": 5.3, ""temp_min"": 3.96, ""sea_level"": 1007, ""feels_like"": 0.63, ""grnd_level"": 985}, ""name"": ""Chicago"", ""wind"": {""deg"": 140, ""gust"": 9.26, ""speed"": 5.66}, ""coord"": {""lat"": 41.85, ""lon"": -87.65}, ""clouds"": {""all"": 100}, ""weather"": [{""id"": 804, ""icon"": ""04n"", ""main"": ""Clouds"", ""description"": ""overcast clouds""}], ""timezone"": -21600, ""visibility"": 10000}"
